category,text,source
Choice of Law / Jurisdiction,"by creating a tinder account or by using the tinder imessage app ( `` tinder stacks '' ) , whether through a mobile device , mobile application or computer ( collectively , the `` service '' ) you agree to be bound by ( i ) these terms of use , ( ii ) our privacy policy and safety tips , each of which is incorporated by reference into this agreement , and ( iii ) any terms disclosed and agreed to by you if you purchase additional features , products or services we offer on the service ( collectively , this `` agreement '' ) .",LexGLUE_UnfairToS
Content Removal,we may make changes to this agreement and to the services from time to time .,LexGLUE_UnfairToS
Content Removal,"the most recent version of this agreement will be posted on the services under settings and also on gotinder.com , and you should regularly check for the most recent version .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"if you continue to use the services after the changes become effective , then you agree to the revised agreement .",LexGLUE_UnfairToS
Contract Termination,"this means we may add new product features or enhancements from time to time as well as remove some features , and if these actions do not materially affect your rights or obligations , we may not provide you with notice before taking them.we may even suspend the services entirely , in which event we will notify you in advance unless extenuating circumstances , such as safety or security concerns , prevent us from doing so .",LexGLUE_UnfairToS
Unilateral Change,tinder may terminate your account at any time without notice if it believes that you have violated this agreement .,LexGLUE_UnfairToS
Limitation of Liability,"though tinder strives to encourage a respectful user experience through features like the double opt-in that only allows users to communicate if they have both indicated interest in one another , it is not responsible for the conduct of any user on or off of the services .",LexGLUE_UnfairToS
Unilateral Change,"the company may investigate and take any available legal action in response to illegal and / or unauthorized uses of the service , including termination of your account .",LexGLUE_UnfairToS
Contract Termination,"we may delete any content , in whole or in part , that in our sole judgment violates this agreement or may harm the reputation of the service .",LexGLUE_UnfairToS
Unilateral Change,"if we feel that your behavior towards any of our customer care representatives or other employees is at any time threatening or offensive , we reserve the right to immediately terminate your account .",LexGLUE_UnfairToS
Unilateral Change,"tinder reserves the right to investigate and / or terminate your account without a refund of any purchases if you have misused the service or behaved in a way that tinder regards as inappropriate or unlawful , including actions or communications that occur off the service but involve users you meet through the service .",LexGLUE_UnfairToS
Contract Termination,"although tinder reserves the right to review and remove content that violates this agreement , such content is the sole responsibility of the user who posts it , and tinder can not guarantee that all content will comply with this agreement .",LexGLUE_UnfairToS
Unilateral Change,"if you initiate a chargeback or otherwise reverse a payment made with your payment method , tinder may terminate your account immediately in its sole discretion .",LexGLUE_UnfairToS
Contract Termination,"virtual items do not incur fees for non-use , however , the license granted to you in virtual items will terminate in accordance with the terms of this agreement , when tinder ceases providing the service or your account is otherwise closed or terminated .",LexGLUE_UnfairToS
Content Removal,"tinder , in its sole discretion , reserves the right to charge fees for the right to access or use virtual items and / or may distribute virtual items with or without charge .",LexGLUE_UnfairToS
Content Removal,"tinder may manage , regulate , control , modify or eliminate virtual items at any time .",LexGLUE_UnfairToS
Limitation of Liability,tinder shall have no liability to you or any third party in the event that tinder exercises any such rights .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,the provision of virtual items for use in the service is a service provided by tinder that commences immediately upon the acceptance of your purchase of such virtual items .,LexGLUE_UnfairToS
Limitation of Liability,"you acknowledge that tinder is not required to provide a refund for any reason , and that you will not receive money or other compensation for unused virtual items when an account is closed , whether such closure was voluntary or involuntary .",LexGLUE_UnfairToS
Limitation of Liability,"tinder does not represent or warrant that ( a ) the service will be uninterrupted , secure or error free , ( b ) any defects or errors in the service will be corrected , or ( c ) that any content or information you obtain on or through the services will be accurate .",LexGLUE_UnfairToS
Limitation of Liability,"tinder takes no responsibility for any content that you or another user or third party posts , sends or receives through the services .",LexGLUE_UnfairToS
Limitation of Liability,tinder is not responsible or liable for such third parties ' terms or actions .,LexGLUE_UnfairToS
Limitation of Liability,"to the fullest extent permitted by applicable law , in no event will tinder , its affiliates , employees , licensors or service providers be liable for any indirect , consequential , exemplary , incidental , special or punitive damages , including , without limitation , loss of profits , whether incurred directly or indirectly , or any loss of data , use , goodwill , or other intangible losses , resulting from : ( i ) your access to or use of or inability to access or use the services , ( ii ) the conduct or content of other users or third parties on , through , or following use of the services ; or ( iii ) unauthorized access , use or alteration of your content , even if tinder has been advised of the possibility of such damages .",LexGLUE_UnfairToS
Limitation of Liability,"in no event will tinder 's aggregate liability to you for all claims relating to the service exceed the amount paid , if any , by you to tinder for the service while you have an account .",LexGLUE_UnfairToS
Exclusion of Liability,the exclusive means of resolving any dispute or claim arising out of or relating to this agreement ( including any alleged breach thereof ) or the service shall be binding arbitration administered by the american arbitration association under the consumer arbitration rules .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by using the service in any manner , you agree to the above arbitration agreement .",LexGLUE_UnfairToS
Unilateral Termination,"in the event that this arbitration agreement is for any reason held to be unenforceable , any litigation against the company ( except for small-claims court actions ) may be commenced only in the federal or state courts located in dallas county , texas .",LexGLUE_UnfairToS
Arbitration,"this agreement , and any dispute between you and the company , shall be governed by the laws of the state of texas without regard to principles of conflicts of law , provided that this arbitration agreement shall be governed by the federal arbitration act .",LexGLUE_UnfairToS
Arbitration,"for users residing in the eu or european economic area or elsewhere where our arbitration agreement is prohibited by law , the laws of texas , u.s.a. , excluding texas 's conflict of laws rules , will apply to any disputes arising out of or relating to this agreement or the services .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,when you ( `` you '' ) sign up with betterpoints.uk you agree to all of the terms and conditions of this agreement ( `` agreement '' ) .,LexGLUE_UnfairToS
Unilateral Change,"your right to use the service is subject to any limitations , conditions and restrictions established by us from time to time , in our sole discretion .",LexGLUE_UnfairToS
Content Removal,"we may alter , suspend or discontinue any aspect of the service at any time , including the availability of any service feature , database or content .",LexGLUE_UnfairToS
Content Removal,we may also impose limits on certain features and aspects of the service or restrict your access to parts or all of the service without notice or liability .,LexGLUE_UnfairToS
Unilateral Change,"if your account is seen to be dormant ( showing no transactions ) for 18 months or more , we reserve the right to terminate your account .",LexGLUE_UnfairToS
Limitation of Liability,"we expressly exclude , to the fullest extent permitted by law , all liability of betterpoints.uk , its directors , employees or other representatives , howsoever arising , for any loss suffered as a result of your use of this website or involvement in any way with betterpoints.uk .",LexGLUE_UnfairToS
Limitation of Liability,"betterpoints.uk is also not responsible or liable for any reputational goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk .",LexGLUE_UnfairToS
Contract Termination,"while we do not and can not review every message or other material posted or sent by users of the service , and are not responsible for any content of these messages or materials , we reserve the right , but are not obligated , to delete , move , or edit messages or materials , including without limitation property profiles , public postings and messages , that we , in our sole discretion , deem to violate the code of conduct set out above or any applicable content guidelines , or to be otherwise unacceptable .",LexGLUE_UnfairToS
Unilateral Change,"we may , in our sole discretion , terminate or suspend your access to all or part of the service at any time , with or without notice , for any reason , including , without limitation , breach of this agreement .",LexGLUE_UnfairToS
Unilateral Change,"without limiting the generality of the foregoing , any fraudulent , abusive , or otherwise illegal activity , or that may otherwise affect the enjoyment of the service or the internet by others may be grounds for termination of your access to all or part of the service at our sole discretion , and you may be referred to appropriate law enforcement agencies .",LexGLUE_UnfairToS
Limitation of Liability,"you acknowledge that we are not responsible for suspension of the service , regardless of the cause of the interruption or suspension .",LexGLUE_UnfairToS
Content Removal,we may discontinue or change the service or its availability to you at any time and you may stop using the service at any time .,LexGLUE_UnfairToS
Limitation of Liability,these are provided for your convenience and we are not responsible for and do not give any warranties or make any representations regarding any external links and are not responsible for or liable in relation to the content or your use of any external links .,LexGLUE_UnfairToS
Limitation of Liability,we are not responsible for and do not give any warranties or make any representations regarding any causes that are introduced and do not give any warranties and are not responsible for or liable in relation to involvement in these causes or any outcome from any involvement .,LexGLUE_UnfairToS
Limitation of Liability,"betterpoints.uk is also not responsible or liable for any reputational and goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk within the area of causes .",LexGLUE_UnfairToS
Limitation of Liability,"betterpoints.uk is also not responsible or liable for any reputational and goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk within the area of transfer of funds .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"your continued use of the service now , or following the posting of notice of any changes in this agreement , will constitute a binding acceptance by you of this agreement , or any subsequent modifications .",LexGLUE_UnfairToS
Content Removal,"notification of changes in this agreement will be posted on the service or sent via electronic mail , as we may determine in our sole discretion .",LexGLUE_UnfairToS
Arbitration,this policy and consent forms part of our website terms of use and as such it shall be governed by and construed in accordance with the laws of england and wales .,LexGLUE_UnfairToS
Unilateral Termination,"you irrevocably agree that the courts of england and wales shall have exclusive jurisdiction to resolve any dispute or claim of whatever nature arising out of or relating to this policy and consent or otherwise to the use of your personal data , and that the laws of england and wales shall govern such dispute or claim .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,by accessing our site and placing an order you agreed to be bound by these terms and conditions and our terms of use policy .,LexGLUE_UnfairToS
Limitation of Liability,"subject as provided below , neither deliveroo nor any partner restaurant shall have have any liability to you for any direct , indirect , special or consequential losses or damages arising in contract , tort ( including negligence ) or otherwise arising from your use of or your inability to use our service .",LexGLUE_UnfairToS
Limitation of Liability,in the event that deliveroo or the partner restaurant is found to be liable to you our total aggregate liability is limited to the purchase price of the meals you have paid for in your order .,LexGLUE_UnfairToS
Content Removal,deliveroo may revise these terms of use at any time by amending this page .,LexGLUE_UnfairToS
Content Removal,"you are expected to check this page from time to time to take notice of any changes we make , as they are binding on you .",LexGLUE_UnfairToS
Unilateral Termination,"the english courts will have jurisdiction over any claim arising from , or related to , any use of our services .",LexGLUE_UnfairToS
Arbitration,these terms of use and any dispute or claim arising out of or in connection with them or their subject matter or formation ( including non-contractual disputes or claims ) shall be governed by and construed in accordance with the law of england and wales .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by accessing our site or by using our service , you indicate that you accept these terms of use and that you agree to abide by them .",LexGLUE_UnfairToS
Content Removal,"access to our site and to our service is permitted on a temporary basis , and we reserve the right to withdraw or amend access to our site or our service without notice ( see below ) .",LexGLUE_UnfairToS
Limitation of Liability,"we will not be liable if , for any reason , our site or our service is unavailable at any time or for any period .",LexGLUE_UnfairToS
Contract Termination,"generally , we do not moderate any interactive service we provide although we may remove content in contravention of these terms of use as set out in section 6 .",LexGLUE_UnfairToS
Contract Termination,"failure to comply with section 3 ( acceptable use ) and/or 5 ( content standards ) in these terms of use constitutes a material breach of the terms of use , and may result in our taking all or any of the following actions :",LexGLUE_UnfairToS
Contract Termination,"immediate , temporary or permanent withdrawal of your right to use our service ;",LexGLUE_UnfairToS
Contract Termination,"immediate , temporary or permanent removal of any posting or material uploaded by you to our service ;",LexGLUE_UnfairToS
Content Removal,"we aim to update our site and our service regularly , and may change the content at any time .",LexGLUE_UnfairToS
Limitation of Liability,"however , we will not be responsible for any errors or omissions in relation to such content or for any technical problems you may experience with our site or our service .",LexGLUE_UnfairToS
Limitation of Liability,"to the extent permitted by law , we exclude all liability ( whether arising in contract , in negligence or otherwise ) for loss or damage which you or any third party may incur in connection with our site , our service , and any website linked to our site and any materials posted on it .",LexGLUE_UnfairToS
Unilateral Termination,"the english courts will have jurisdiction over any claim arising from , or related to , a visit to our site or use of our services .",LexGLUE_UnfairToS
Content Removal,we may revise these terms of use at any time by amending this page .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by using or accessing the services , you agree to become bound by all the terms and conditions of this agreement .",LexGLUE_UnfairToS
Content Removal,"9gag , inc may change , suspend or discontinue the services at any time , including the availability of any feature , database , or content .",LexGLUE_UnfairToS
Limitation of Liability,"9gag , inc may also impose limits on certain features and services or restrict subscriber 's access to parts or all of the services without notice or liability .",LexGLUE_UnfairToS
Content Removal,"9gag , inc reserves the right , at its discretion , to modify these terms of service at any time by posting revised terms of service on the site and by providing notice via e-mail , where possible , or on the site .",LexGLUE_UnfairToS
Content Removal,subscriber shall be responsible for reviewing and becoming familiar with any such modifications .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,use of the services by subscriber following such modification constitutes subscriber 's acceptance of the terms and conditions of this agreement as modified .,LexGLUE_UnfairToS
Limitation of Liability,"you agree that neither 9gag , inc nor the site will be liable in any event to you or any other party for any suspension , modification , discontinuance or lack of availability of the site , the service , your subscriber content or other content .",LexGLUE_UnfairToS
Unilateral Change,"9gag , inc retains the right to create limits on use and storage in its sole discretion at any time with or without notice .",LexGLUE_UnfairToS
Contract Termination,"9gag , inc reserves the right to remove any subscriber content from the site , suspend or terminate subscriber 's right to use the services at any time , or pursue any other remedy or relief available to 9gag , inc and/or the site under equity or law , for any reason ( including , but not limited to , upon receipt of claims or allegations from third parties or authorities relating to such subscriber content or if 9gag , inc is concerned that subscriber may have breached the immediately preceding sentence ) , or for no reason at all .",LexGLUE_UnfairToS
